texto_extraido,name,date,amount,categoria
"Cafeteria Sula §.4,\n\nCed: 3101743501\n\nTelf: 48001840\n\nEmail: infotsulacafeteria.com\nFactura Electronica\n\nNo Interno:0000004609\n\nFecha :08/04/2025 14:19:11\nPy:Heredia - San Francisco\n\n:Keyshel] Dareynis Maltez Chavez\nCliente:Distribuidora la Florida Socieda\n\nCant Producto Precio\n100 Tona2 4,637.40\n1.00 Limonada de Coco 2,845.53\n9.00\nGrav; 7,682.99\nDesc: 0.00\nIva: 998.78\nServ; 768.29\n\nTotal: 9,451.00\n\n++ ORDEN 18\n\nAutorizado Resol No DGT-033-2019\nDel 20 de junio de 2019\nOesarrollado por Integrasoft\nTel :83410095\nhttps: //ww. integrasof ter .com", Cafeteria Sula, 08/04/2025, 9451.00, comida
"Factura Electronico\nCorretativo: F09-00006148\nNonbre: DISTRIGUIOORR LA FLORIDA sf\n3101285060\nDoc. Identided: CEOULA JURIDICA\nnat: ECEPCTONFACTURAELECTRONICAGFIFCO.com\n\nPANACAFE DE COSTA RICA S.A.\nCcedluta Juridica 3-101-599617\n\n00096\n\nRecepcién: iTberthoT 0704/2025\noreo 26 PH\n30049\nGreen Tes Latte 0,00\nHot Grnd Green Tee Latte 3,300,00\nExtra Jarabe Vaini $/Reu (3 9100.00) 30.00\n\n(3)0 Pune Jarsbe Classic\n(8L) Leche de Alnendra 300.00\nAUTOSERUICIO Total 3,900.00\nCredterust 3,900.00\n\nConsecutive:\n2500003010000006148\n\nChaves\n'5610042500310159961702500003010000,\n05148300006148\n\nSOV: TRES WIL MOVECZENTOS COLONES\n\nPANACAFE DE COSTA RICA S.A.\nSTARBUCKS VALENCIA\nAutorizado mediante resoluctén\nNo DGT-R-033-2019\ndel 20 de Junio del 2019\n\nPassword WiFi; alsaciacr\nservicioalc] ientedstarbucks.co.cr\n- Cuenta cerrada -\n\ncin", nSTARBUCKS, NONE, 3900.00, comida
"Factura Electronico\nCorretativo: F09-00006148\nNonbre: DISTRIGUIOORR LA FLORIDA sf\n3101285060\nDoc. Identided: CEOULA JURIDICA\nnat: ECEPCTONFACTURAELECTRONICAGFIFCO.com\n\nPANACAFE DE COSTA RICA S.A.\nCcedluta Juridica 3-101-599617\n\n00096\n\nRecepcién: iTberthoT 0704/2025\noreo 26 PH\n30049\nGreen Tes Latte 0,00\nHot Grnd Green Tee Latte 3,300,00\nExtra Jarabe Vaini $/Reu (3 9100.00) 30.00\n\n(3)0 Pune Jarsbe Classic\n(8L) Leche de Alnendra 300.00\nAUTOSERUICIO Total 3,900.00\nCredterust 3,900.00\n\nConsecutive:\n2500003010000006148\n\nChaves\n'5610042500310159961702500003010000,\n05148300006148\n\nSOV: TRES WIL MOVECZENTOS COLONES\n\nPANACAFE DE COSTA RICA S.A.\nSTARBUCKS VALENCIA\nAutorizado mediante resoluctén\nNo DGT-R-033-2019\ndel 20 de Junio del 2019\n\nPassword WiFi; alsaciacr\nservicioalc] ientedstarbucks.co.cr\n- Cuenta cerrada -\n\ncin", nSTARBUCKS, NONE, 3900.00, comida
"SERVICIOS DE PASTELERTA S.A.\n‘SPOON CIUDAD DEL ESTE\nCéd Jt 101038818\nTel: 40556705\nFecha: 10/04/2025 13:57:28\nFACTURA ELECTRONICA REF- 89509\namarero:TFERNANDEZ Mesa: 15\n\iente:DISTRIBUTDORA LA FLORIDA SOCIE\nmaj 1: recepe 6nfacturaelectronica@fifc\nSdula:3101295868\nimero de orden:\n\n1 ENSALADA DE SALMON 5.682,95\n1 SPARKLER FRUTOS RO 2,357,74\nSubTotal: §.040,69\n\n134 1045,29\n\n10% 804,07\n\n9890,,05\n\nFORMA DE PAGO Entregado CAMBIO\nPINPAD 989005 0,00\nGracias por su preferencia\nPara toda devolucion de producto es\nindispensable 1a presentacion de esta\nfactura, 24 horas realizada la conpra\nAutorizado mediante resolucién\nDGT-R-033-2019 del 1 de julio de} 2019\nConsulta tu saldo SPOONERS a1\ningresar en whW.spooncr .com\n0 en Spoon App\n\nClave de Facturaci6n Electronica\n0610042500310 10388 180350000261900002601\n\nConsecutivo de Facturacién Electronica\n3500002010000026017", SPOON, 10/04/2025, 9890.05, comida
"SERVICIOS DE PASTELERTA S.A.\n‘SPOON CIUDAD DEL ESTE\nCéd Jt 101038818\nTel: 40556705\nFecha: 10/04/2025 13:57:28\nFACTURA ELECTRONICA REF- 89509\namarero:TFERNANDEZ Mesa: 15\n\iente:DISTRIBUTDORA LA FLORIDA SOCIE\nmaj 1: recepe 6nfacturaelectronica@fifc\nSdula:3101295868\nimero de orden:\n\n1 ENSALADA DE SALMON 5.682,95\n1 SPARKLER FRUTOS RO 2,357,74\nSubTotal: §.040,69\n\n134 1045,29\n\n10% 804,07\n\n9890,,05\n\nFORMA DE PAGO Entregado CAMBIO\nPINPAD 989005 0,00\nGracias por su preferencia\nPara toda devolucion de producto es\nindispensable 1a presentacion de esta\nfactura, 24 horas realizada la conpra\nAutorizado mediante resolucién\nDGT-R-033-2019 del 1 de julio de} 2019\nConsulta tu saldo SPOONERS a1\ningresar en whW.spooncr .com\n0 en Spoon App\n\nClave de Facturaci6n Electronica\n0610042500310 10388 180350000261900002601\n\nConsecutivo de Facturacién Electronica\n3500002010000026017", SPOON, 10/04/2025, 9890.05, comida
"FS Mh Ys\nPANAVIEJA\nfaeetaue ©) Bel te an Pablo de\nHeredia.\nCed. Juridica: 3-101-128192\n\nTeléfono:\n\nFACTURAFO02/16884 Mesa: 34\n15/4/2025 14:40:36 Sala:PATIO\nCajero: GONZALEZ MEJIA LAURA\nCliente: Distribuldora la florida\n\nCedula: 3101295868\nUDS DESCRIPCION Total\n\n1 VASO MICHELADO 265, os\n1 AGUA GASIFICADA DE LA CAS 1.592,92\n\n| SK BOWL i 876, 10\n\n0,00,\nTotal Items: 3 SUBTOTAL C:  9.734,50\n13% 1.265,49\n10% 973,45\n\nTOTAL COLONES; 11.573,44\n23,95\n\nTotal Dolares:\nENTREGADO CAMBIO\nTARJETA = 11973,44 0,00\n\n44% GRACIAS POR SU VISITA #4*\nOrdena desde casa al WhatsApp 7130-3001\n\nAUTORIZADA BAJO LA RESOLUCION\nOGT-R-033-2019 del 20 de junio del 2019\n\nClave:506150425003101 1281920010010201000\n0020226300020226\nConsecut {vo ;00100102010000020226", nPANAVIEJA, 15/04/2025, 11573.44, comida
"FS Mh Ys\nPANAVIEJA\nfaeetaue ©) Bel te an Pablo de\nHeredia.\nCed. Juridica: 3-101-128192\n\nTeléfono:\n\nFACTURAFO02/16884 Mesa: 34\n15/4/2025 14:40:36 Sala:PATIO\nCajero: GONZALEZ MEJIA LAURA\nCliente: Distribuldora la florida\n\nCedula: 3101295868\nUDS DESCRIPCION Total\n\n1 VASO MICHELADO 265, os\n1 AGUA GASIFICADA DE LA CAS 1.592,92\n\n| SK BOWL i 876, 10\n\n0,00,\nTotal Items: 3 SUBTOTAL C:  9.734,50\n13% 1.265,49\n10% 973,45\n\nTOTAL COLONES; 11.573,44\n23,95\n\nTotal Dolares:\nENTREGADO CAMBIO\nTARJETA = 11973,44 0,00\n\n44% GRACIAS POR SU VISITA #4*\nOrdena desde casa al WhatsApp 7130-3001\n\nAUTORIZADA BAJO LA RESOLUCION\nOGT-R-033-2019 del 20 de junio del 2019\n\nClave:506150425003101 1281920010010201000\n0020226300020226\nConsecut {vo ;00100102010000020226", nPANAVIEJA, 15/04/2025, 11573.44, comida
"he?\nLV,\nreo\n\nBELA 2S 0\n\nHAT ASA\nCont isu 1 Pals de San Pablo ce\ntia\n(8d, durch §-16)-128192\naf iwi\nFACTURAEOEY/2 6.9 Wear 182\n\n15/04/2025 14 hi Sala\nCajero; RANT ES YS CALUBOS ANGIE\nCliente: Distr vwidwa to Thorida\n\nCedula: 210}.tabh\nOS DESCIREPC UN\n\n1 QUEQY\n\n1a Tee\n\nTotal Ttens: ) swiltuat €\n\nWA 108,54\nTOTAL COLONES: 506\ntal MoLares 1,86\nHIREGANO CAMBIO\nThatth 900,00 6,06\ndhe RAEI POE Sit VISTA 448\n\nOrdena desde. 1 Mhatsanp 7130-6001\nAUTOR L207 BA (4 RESOLUCION\nOGT-R-033-201: tel 0 de junto del 2019\n\nClave sS06150s 00 11) ANGLO IIE LDUG\nBG8HH0 Foto\nConsacut iva) }as 6 eulne 3050", NONE, 15/04/2025, 506.00, comida
"he?\nLV,\nreo\n\nBELA 2S 0\n\nHAT ASA\nCont isu 1 Pals de San Pablo ce\ntia\n(8d, durch §-16)-128192\naf iwi\nFACTURAEOEY/2 6.9 Wear 182\n\n15/04/2025 14 hi Sala\nCajero; RANT ES YS CALUBOS ANGIE\nCliente: Distr vwidwa to Thorida\n\nCedula: 210}.tabh\nOS DESCIREPC UN\n\n1 QUEQY\n\n1a Tee\n\nTotal Ttens: ) swiltuat €\n\nWA 108,54\nTOTAL COLONES: 506\ntal MoLares 1,86\nHIREGANO CAMBIO\nThatth 900,00 6,06\ndhe RAEI POE Sit VISTA 448\n\nOrdena desde. 1 Mhatsanp 7130-6001\nAUTOR L207 BA (4 RESOLUCION\nOGT-R-033-201: tel 0 de junto del 2019\n\nClave sS06150s 00 11) ANGLO IIE LDUG\nBG8HH0 Foto\nConsacut iva) }as 6 eulne 3050", NONE, 15/04/2025, 506.00, comida
"Franquicias Internacionales RADA S.A.\n\nnacionsushi\nPlaza Bratsi\nHeredia\n3éd Jur 3-101-709894\nTel: 2208-008\nCorreo: infotnacionsushicr .com\nFecra: 16/04/2026 21:44:31\nFactura F01/22620  SALASALA PRINCIPAL\n\nSAMARERO (evin Hernandez ESA 24\nSLiente:DISTRIBUIDORA LA FLORIDA\n\nJOS —_D:SCRIPCTON TMPORTE:\n1 Rollo Atomike KETO ;\n1 Juzo de Pifia Limon\n\nSubtotal:\nIVA 13k\n1S 10% 10330 ,89\ncoworcyou oe exo TOTAL 126°9,99\nSONTADO\nFORMA DE 2AG0 Entregado CAMBIO\n\nDATAFOND PROMERICA 12679,99 0,00\n\nVersicn 4.3\ndutorizada mediante resolucién NO NG’\nR-033-2019 del 2C de junio de 2019\nClav2 Facturacion Electronica\n5306160425 0310170984001002010 Lo000N2883\n4300028834\nConsecutive Facturacion Electronica\n301002010 10000028834", nacion sushi, 16/04/2026, 12679.99, comida
"Franquicias Internacionales RADA S.A.\n\nnacionsushi\nPlaza Bratsi\nHeredia\n3éd Jur 3-101-709894\nTel: 2208-008\nCorreo: infotnacionsushicr .com\nFecra: 16/04/2026 21:44:31\nFactura F01/22620  SALASALA PRINCIPAL\n\nSAMARERO (evin Hernandez ESA 24\nSLiente:DISTRIBUIDORA LA FLORIDA\n\nJOS —_D:SCRIPCTON TMPORTE:\n1 Rollo Atomike KETO ;\n1 Juzo de Pifia Limon\n\nSubtotal:\nIVA 13k\n1S 10% 10330 ,89\ncoworcyou oe exo TOTAL 126°9,99\nSONTADO\nFORMA DE 2AG0 Entregado CAMBIO\n\nDATAFOND PROMERICA 12679,99 0,00\n\nVersicn 4.3\ndutorizada mediante resolucién NO NG’\nR-033-2019 del 2C de junio de 2019\nClav2 Facturacion Electronica\n5306160425 0310170984001002010 Lo000N2883\n4300028834\nConsecutive Facturacion Electronica\n301002010 10000028834", nacion sushi, 16/04/2026, 12679.99, comida
"Restaurante Isabella's\nia mpunsiei, Pragp Scicnss: otal\n\nat\nHeredia, Belén\nCosta Rica\n2102-6061\nCédula Juridica: 3102786115\n‘Autorizacin seguin Resolucién\n31027861158RL\nPRECUENTA\nORDEN #36493,\n\nHora de Impresién: 22747202 73.35 p.m.\n\nCLIENTE: DISTRIBUIDORA LA FLORIDA S.A\nCORREO. dalila sandino@fifco,com\nTELEFONO: 70921237\n\nINIT. 3101295868\n\nCondicién de la venta: Contado\n\nMedio de pago: Otros\nCANTSERVICIO P.UNITARIOCOTAL,\n\n7.00 SALMON PICATTA\n\n47,460.18 11,460.18\n4,00 GASEOSA\n\n4,850.00 1,550.00\n\nESTIMADO CLIENTE,\nESTO ES UNA ORDEN DE SERVICIO.\nMt SOLICITE SU FACTURA It\n\nSUB-TOTAL 13,010.18\nDESCUENTO 9.00\nIVA 1,691.32\nTOTAL @ 14,701.60\nServicio @ 4,301.02\n\n_ GRAN TOTAL €: 16,002.52\nServicio § 2.56\nTOTAL ENS 31.49\n\nGracias por su visita.\n\nUTA\n\nSolara Food Caja - hos Jew procom ct!", Restaurante Isabella's, NONE, 16002.52, comida
"Restaurante Isabella's\nia mpunsiei, Pragp Scicnss: otal\n\nat\nHeredia, Belén\nCosta Rica\n2102-6061\nCédula Juridica: 3102786115\n‘Autorizacin seguin Resolucién\n31027861158RL\nPRECUENTA\nORDEN #36493,\n\nHora de Impresién: 22747202 73.35 p.m.\n\nCLIENTE: DISTRIBUIDORA LA FLORIDA S.A\nCORREO. dalila sandino@fifco,com\nTELEFONO: 70921237\n\nINIT. 3101295868\n\nCondicién de la venta: Contado\n\nMedio de pago: Otros\nCANTSERVICIO P.UNITARIOCOTAL,\n\n7.00 SALMON PICATTA\n\n47,460.18 11,460.18\n4,00 GASEOSA\n\n4,850.00 1,550.00\n\nESTIMADO CLIENTE,\nESTO ES UNA ORDEN DE SERVICIO.\nMt SOLICITE SU FACTURA It\n\nSUB-TOTAL 13,010.18\nDESCUENTO 9.00\nIVA 1,691.32\nTOTAL @ 14,701.60\nServicio @ 4,301.02\n\n_ GRAN TOTAL €: 16,002.52\nServicio § 2.56\nTOTAL ENS 31.49\n\nGracias por su visita.\n\nUTA\n\nSolara Food Caja - hos Jew procom ct!", Restaurante Isabella's, NONE, 16002.52, comida
"ia Sula S.A.\nCafeteria Ms,\nTelf: 48001840\n\nEnail: infodsulacafeteria.com\n\n=actura Electronica\n\nNo Interno:0000004649\nFecha:23/04/2025 14:26:37\n\nPy:Heredia ~ San Francisco\n\nCaja:Caja 01\n\nCajero:Keyshel1 Dareynis Maltez Chavez\nCliente:Distribuidora la Florida Socieda\n\nCant Producto\n\nPrecio\n\n1,00 Toma 2\n\n4,837.40\n1.00 Limonada de Coco 2,845.53\n1.00 Cupcake de Vainilla 1,788.62\n\n1.00 Mini Cheesecake de Limo 1,946.90\n\n0.00\n11,418.45\n0.00\n1,484.40\n1,141.85\n14,045.00\n\n*& ORDEN: 20 **\n\nAutorizado Resol No OGT-033-2018\nDel 20 de junio de 2019\nDesarrollado por Integrasoft\nTel :83410095\nhttps: //wwi. integrasofter .com", nCHATWOODS, 23/04/2025, 14045.00, comida
"ia Sula S.A.\nCafeteria Ms,\nTelf: 48001840\n\nEnail: infodsulacafeteria.com\n\n=actura Electronica\n\nNo Interno:0000004649\nFecha:23/04/2025 14:26:37\n\nPy:Heredia ~ San Francisco\n\nCaja:Caja 01\n\nCajero:Keyshel1 Dareynis Maltez Chavez\nCliente:Distribuidora la Florida Socieda\n\nCant Producto\n\nPrecio\n\n1,00 Toma 2\n\n4,837.40\n1.00 Limonada de Coco 2,845.53\n1.00 Cupcake de Vainilla 1,788.62\n\n1.00 Mini Cheesecake de Limo 1,946.90\n\n0.00\n11,418.45\n0.00\n1,484.40\n1,141.85\n14,045.00\n\n*& ORDEN: 20 **\n\nAutorizado Resol No OGT-033-2018\nDel 20 de junio de 2019\nDesarrollado por Integrasoft\nTel :83410095\nhttps: //wwi. integrasofter .com", nCHATWOODS, 23/04/2025, 14045.00, comida
"Cédula Juridica. 31 8\nAutorizacion segtin Resoli\nCHATWOODS 5.4\nConsecutive interno: Serie: FAC No\n35046\nclave fe: 506240425003101379285005\n00005010000901318115288318\n-\CTURA ELECTRONICA: 0050000501000\n0001316\n\nORDEN #91924\n\nHora de Impresion: 24/4/2025 - 17 £4\nLlevar\n\nMESERO: Tahiry Zamora Herariciez\nCAJERG: Tahiry Zamora Hernandez\nCLIENTE: Distribuidora La Florida\nCORREO. fecepoionfactu\nTELEFONG 88115306\nNir 3101296668\nGondicién de la venta: Contade\nMedio de pago: Transferencia\nCANTSERVICIO P.UNITARICTOTAL\n\n7.00 SALSA HO\n\n1.00 CHICKEN WING\n\nTAL,\nDESCUENTO\nIVA\n\nTOTAL €\n\nServicio\n\nGRAN TOTAL €:\nTOTALEN §\nGANCELO CON :\n(Transferencia) © 17,790.00\n\nGracias por su visita.", nCHATWOODS, 24/04/2025, 17790.00, comida
"Cédula Juridica. 31 8\nAutorizacion segtin Resoli\nCHATWOODS 5.4\nConsecutive interno: Serie: FAC No\n35046\nclave fe: 506240425003101379285005\n00005010000901318115288318\n-\CTURA ELECTRONICA: 0050000501000\n0001316\n\nORDEN #91924\n\nHora de Impresion: 24/4/2025 - 17 £4\nLlevar\n\nMESERO: Tahiry Zamora Herariciez\nCAJERG: Tahiry Zamora Hernandez\nCLIENTE: Distribuidora La Florida\nCORREO. fecepoionfactu\nTELEFONG 88115306\nNir 3101296668\nGondicién de la venta: Contade\nMedio de pago: Transferencia\nCANTSERVICIO P.UNITARICTOTAL\n\n7.00 SALSA HO\n\n1.00 CHICKEN WING\n\nTAL,\nDESCUENTO\nIVA\n\nTOTAL €\n\nServicio\n\nGRAN TOTAL €:\nTOTALEN §\nGANCELO CON :\n(Transferencia) © 17,790.00\n\nGracias por su visita.", nCHATWOODS, 24/04/2025, 17790.00, comida
"SARDL ~ HEREDIA\n\nETTORE GASTRONOMIA ITALIANA SRL.\n\n3102905316\nHeredia, Mall Oxigeno\n10901 HEREDIA\n64829235\n\nSUBTOTAL Identificador: 14\n\nabr. 25 2025 01:00 p. m. J. HERNANDEZ\nSala-Mesa 6- 14\n\nDistribuidora la Florida\nNIF: 3101295868\n\nLOMITO ENCEBOLLADO\n2.0 x 5690\n1.2 los 2\n\nImpuestos no incl.\n\nCargo por servicio 10%\nRedondeo\n\n2 Articulos TOTAL\n\nAUTORIZADO MEDIANTE RESOLUCION\nOTG-R-012-2018\nREGIMEM SIMPLIFICADO\n\nBeams", SARDL, 25/04/2025, 11380.00, comida
"SARDL ~ HEREDIA\n\nETTORE GASTRONOMIA ITALIANA SRL.\n\n3102905316\nHeredia, Mall Oxigeno\n10901 HEREDIA\n64829235\n\nSUBTOTAL Identificador: 14\n\nabr. 25 2025 01:00 p. m. J. HERNANDEZ\nSala-Mesa 6- 14\n\nDistribuidora la Florida\nNIF: 3101295868\n\nLOMITO ENCEBOLLADO\n2.0 x 5690\n1.2 los 2\n\nImpuestos no incl.\n\nCargo por servicio 10%\nRedondeo\n\n2 Articulos TOTAL\n\nAUTORIZADO MEDIANTE RESOLUCION\nOTG-R-012-2018\nREGIMEM SIMPLIFICADO\n\nBeams", SARDL, 25/04/2025, 11380.00 , comida
